text,label
"отправь задачу сделать отчет в список дел до 2026-04-13T04:14:57Z, приоритет низкий, проект ДЗ, описание: слайды для семинара, как дочернюю к задаче подготовить презентацию",TASK_CREATE
напиши письмо {},UNKNOWN
"сделай для меня позвонить клиенту до 2026-04-30T00:14:57Z, приоритет высокий, проект Учебный проект, описание: сделать отчет по лабораторной",TASK_CREATE
"добавь новую задачу закончить лабораторную до 2026-04-27T19:14:58Z, приоритет высокий, проект ДЗ, описание: слайды для семинара, как дочернюю к задаче позвонить клиенту",TASK_CREATE
посмотри на задачу {},AMBIGUOUS
измени или удали задачу,AMBIGUOUS
помоги с кодом,UNKNOWN
снять задачу закончить лабораторную,TASK_DELETE
добавь в бэклог позвонить клиенту,TASK_CREATE
открой список задач,TASK_QUERY
как пройти до {},UNKNOWN
покажи новости за сегодня,UNKNOWN
{},AMBIGUOUS
включи фильм {},UNKNOWN
очисти завершённые задачи сделать отчет,TASK_DELETE
какие у меня задачи,TASK_QUERY
включи фильм {},UNKNOWN
выведи список задач,TASK_QUERY
замени подготовить презентацию в задаче,TASK_UPDATE
обязательно сделать отчет,TASK_CREATE
"создай задачу подготовить презентацию до 2026-04-20T14:14:57Z, приоритет высокий, проект Учебный проект, описание: сделать отчет по лабораторной, как дочернюю к задаче сделать отчет",TASK_CREATE
займись этим {},AMBIGUOUS
что запланировано,TASK_QUERY
что известно о {},TASK_QUERY
исключи задачу купить молоко,TASK_DELETE
задачи по проекту {} на этой неделе,TASK_QUERY
"сделай для меня закончить лабораторную до 2026-04-04T13:14:58Z, приоритет низкий, проект Учебный проект, описание: сделать отчет по лабораторной",TASK_CREATE
"было бы хорошо сделать отчет до 2026-04-03T18:14:57Z, приоритет низкий, проект ДЗ, описание: позвонить клиенту и уточнить детали, как дочернюю к задаче купить молоко",TASK_CREATE
убери из бэклога подготовить презентацию,TASK_DELETE
установи приоритет позвонить клиенту для задачи,TASK_UPDATE
перенеси срок задачи подготовить презентацию,TASK_UPDATE
обязательно купить молоко,TASK_CREATE
перепиши задачу позвонить клиенту,TASK_UPDATE
какая погода сегодня,UNKNOWN
готово закончить лабораторную,TASK_UPDATE
не забудь добавить купить молоко,TASK_CREATE
удали все задачи закончить лабораторную,TASK_DELETE
что у меня запланировано,TASK_QUERY
удали задачу позвонить клиенту,TASK_DELETE
напиши письмо {},UNKNOWN
"может, создать задачу {}",AMBIGUOUS
перенеси срок задачи подготовить презентацию,TASK_UPDATE
задачи по проекту {} на этой неделе,TASK_QUERY
найди в интернете {},UNKNOWN
установи таймер на {},UNKNOWN
займись этим {},AMBIGUOUS
"поставь в очередь закончить лабораторную до 2026-04-25T14:14:57Z, приоритет средний, проект Рабочий проект, описание: позвонить клиенту и уточнить детали",TASK_CREATE
{},AMBIGUOUS
мои дела на сегодня,TASK_QUERY
открой браузер,UNKNOWN
что мне нужно сделать,TASK_QUERY
задачи на эту неделю,TASK_QUERY
займись этим {},AMBIGUOUS
сыграй в игру,UNKNOWN
удали подготовить презентацию немедленно,TASK_DELETE
посмотри на задачу {},AMBIGUOUS
удали задачу подготовить презентацию,TASK_DELETE
покажи активные задачи,TASK_QUERY
удали задачи закончить лабораторную,TASK_DELETE
"не знаю, удали или измени {}",AMBIGUOUS
"хочу добавить задачу сделать отчет до 2026-04-19T20:14:58Z, приоритет средний, проект ДЗ, описание: слайды для семинара",TASK_CREATE
удали последнюю задачу сделать отчет,TASK_DELETE
задача закончить лабораторную выполнена,TASK_UPDATE
создай для меня задачу сделать отчет,TASK_CREATE
поменяй описание задачи позвонить клиенту,TASK_UPDATE
включи музыку,UNKNOWN
обязательно позвонить клиенту,TASK_CREATE
скорректируй купить молоко задачи,TASK_UPDATE
удали задачи позвонить клиенту,TASK_DELETE
"не знаю, удали или измени {}",AMBIGUOUS
